game1;game2;Einzel_1;;;;;Einzel_2;;;;
43123;4352;4;3;1;2;3;;4;3;5;2
12453;14;1;2;4;5;3;;;;1;4
12345;14;1;2;3;4;5;;;;1;4
3421;14;0;3;4;2;1;;;;1;4
12354;4;1;2;3;5;4;;;;;4
1314;14;0;1;3;1;4;;;;1;4
1041;24;0;1;0;4;1;;;;2;4
12341;2;1;2;3;4;1;;;;;2
12345;13;1;2;3;4;5;;;;1;3
2012;13;0;2;0;1;2;;;;1;3
43123;13;4;3;1;2;3;;;;1;3
243;34;0;0;2;4;3;;;;3;4
12345;4;1;2;3;4;5;;;;;4
12345;14;1;2;3;4;5;;;;1;4
1523;12;0;1;5;2;3;;;;1;2
12453;234;1;2;4;5;3;;;2;3;4
12345;241;1;2;3;4;5;;;2;4;1
1523;4;0;1;5;2;3;;;;;4
12453;12;1;2;4;5;3;;;;1;2
1143;143;0;1;1;4;3;;;1;4;3
5425;4351;0;5;4;2;5;;4;3;5;1
3013;2;0;3;0;1;3;;;;;2
235;13513;0;0;2;3;5;1;3;5;1;3
12345;14;1;2;3;4;5;;;;1;4
142;4;0;0;1;4;2;;;;;4
21343;34;2;1;3;4;3;;;;3;4
1245;3;0;1;2;4;5;;;;;3
124;14;0;0;1;2;4;;;;1;4
11234;14;1;1;2;3;4;;;;1;4
125;4;0;0;1;2;5;;;;;4
